review,rating,date,bank,source,sentiment_score,sentiment
really am happy to this app it is Siple to use everything,5,6/7/2025,Commercial Bank of Ethiopia,Google Play,0.6096,Positive
I liked this app. But the User interface is very basic and not attractive at all.,2,6/7/2025,Commercial Bank of Ethiopia,Google Play,-0.298,Negative
"""Why don‚??t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,6/6/2025,Commercial Bank of Ethiopia,Google Play,0.6369,Positive
what is this app problem???,1,6/5/2025,Commercial Bank of Ethiopia,Google Play,-0.5007,Negative
the app is proactive and a good connections.,5,6/5/2025,Commercial Bank of Ethiopia,Google Play,0.6908,Positive
I cannot send to cbebirr app. through this app.,3,6/5/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
good,4,6/5/2025,Commercial Bank of Ethiopia,Google Play,0.4404,Positive
not functional,1,6/5/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,6/4/2025,Commercial Bank of Ethiopia,Google Play,0.1739,Positive
·?†·?´·?ç·??·?µ ·?®·?ù·??·?µ·??·?£·?†·?µ ·?¶·?≥ ·?µ·?ù ·?Ω·ç?·?? ·?ê·?ç ·?®·??·?? ·?†·ç?·?µ ·?®·??·?≠·??·?£·?∏·?ç·?? ·?†·?´·??·??·?∂·?Ω ·?®·?ù·??·ç?·?ç·??·?? ·?ê·??·?≠ ·?ç·?? ·?†·?≤·?µ ·?†·?´·?ç·??·?∂·?Ω mr ·?•·??·?? ·?®·??·??·?ù·?© ·?†·?ù·?∞·??·?ç ·?ç·?? ·?†·ç?·?ç·?¨·?Ω·?? space ·?µ·??·?Ω·çç ·?†·?≠·??·?†·?ç·?ù ·?¢·?µ·?∞·?´·?®·?ç,4,6/4/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
best,5,6/4/2025,Commercial Bank of Ethiopia,Google Play,0.6369,Positive
bezabih,5,6/4/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
Best Mobile Banking app ever,5,6/4/2025,Commercial Bank of Ethiopia,Google Play,0.6369,Positive
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,6/4/2025,Commercial Bank of Ethiopia,Google Play,0.6369,Positive
Good,5,6/4/2025,Commercial Bank of Ethiopia,Google Play,0.4404,Positive
?????ç,5,6/4/2025,Commercial Bank of Ethiopia,Google Play,0.7297,Positive
very niec,5,6/4/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
best app of finance,5,6/4/2025,Commercial Bank of Ethiopia,Google Play,0.6369,Positive
yetemeta,1,6/3/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
Engida Kebede Fetera,5,6/3/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
it is not safety,1,6/3/2025,Commercial Bank of Ethiopia,Google Play,-0.3252,Negative
NICE bank,5,6/3/2025,Commercial Bank of Ethiopia,Google Play,0.5473,Positive
it is like a childish app make it better the worst I have ever seen,1,6/2/2025,Commercial Bank of Ethiopia,Google Play,-0.2263,Negative
